Fecha,Precio de venta,Tipo de dólar
30/11/2012 12:00:00 a.m.,"6,44",Informal (Blue)
03/12/2012 12:00:00 a.m.,"4,855",Oficial
03/12/2012 12:00:00 a.m.,"6,44",Informal (Blue)
04/12/2012 12:00:00 a.m.,"4,86",Oficial
04/12/2012 12:00:00 a.m.,"6,44",Informal (Blue)
05/12/2012 12:00:00 a.m.,"4,865",Oficial
05/12/2012 12:00:00 a.m.,"6,44",Informal (Blue)
06/12/2012 12:00:00 a.m.,"4,87",Oficial
06/12/2012 12:00:00 a.m.,"6,44",Informal (Blue)
07/12/2012 12:00:00 a.m.,"4,875",Oficial
07/12/2012 12:00:00 a.m.,"6,47",Informal (Blue)
10/12/2012 12:00:00 a.m.,"4,88",Oficial
10/12/2012 12:00:00 a.m.,"6,45",Informal (Blue)
11/12/2012 12:00:00 a.m.,"4,88",Oficial
11/12/2012 12:00:00 a.m.,"6,44",Informal (Blue)
12/12/2012 12:00:00 a.m.,"4,88",Oficial
12/12/2012 12:00:00 a.m.,"6,48",Informal (Blue)
13/12/2012 12:00:00 a.m.,"4,885",Oficial
13/12/2012 12:00:00 a.m.,"6,52",Informal (Blue)
14/12/2012 12:00:00 a.m.,"4,885",Oficial
14/12/2012 12:00:00 a.m.,"6,53",Informal (Blue)
17/12/2012 12:00:00 a.m.,"4,895",Oficial
17/12/2012 12:00:00 a.m.,"6,52",Informal (Blue)
18/12/2012 12:00:00 a.m.,"4,9",Oficial
18/12/2012 12:00:00 a.m.,"6,53",Informal (Blue)
19/12/2012 12:00:00 a.m.,"4,9",Oficial
19/12/2012 12:00:00 a.m.,"6,55",Informal (Blue)
20/12/2012 12:00:00 a.m.,"4,91",Oficial
20/12/2012 12:00:00 a.m.,"6,63",Informal (Blue)
21/12/2012 12:00:00 a.m.,"4,91",Oficial
21/12/2012 12:00:00 a.m.,"6,61",Informal (Blue)
26/12/2012 12:00:00 a.m.,"4,925",Oficial
26/12/2012 12:00:00 a.m.,"6,64",Informal (Blue)
27/12/2012 12:00:00 a.m.,"4,925",Oficial
27/12/2012 12:00:00 a.m.,"6,78",Informal (Blue)
28/12/2012 12:00:00 a.m.,"4,93",Oficial
